Date,Description,Amount,MCC,Payment_Method
2024-11-25,"Grocery Stores, Supermarkets",115.91,5411,Credit Card
2024-11-13,"Grocery Stores, Supermarkets",119.02,5411,Bank Transfer
2024-11-12,"Grocery Stores, Supermarkets",132.59,5411,Credit Card
2024-11-25,"Grocery Stores, Supermarkets",96.65,5411,Credit Card
2024-11-21,"Grocery Stores, Supermarkets",146.87,5411,Debit Card
2024-11-25,"Grocery Stores, Supermarkets",128.84,5411,Bank Transfer
2024-11-23,Service Stations (Fuel),147.02,5541,Bank Transfer
2024-11-16,Service Stations (Fuel),52.84,5541,Cash
2024-11-19,Service Stations (Fuel),46.19,5541,Bank Transfer
2024-11-27,Service Stations (Fuel),148.59,5541,Credit Card
2024-11-15,"Utilities (Electric, Gas, Water)",255.9,4900,Debit Card
2024-11-16,Eating Places and Restaurants,89.32,5812,PayPal
2024-11-04,Eating Places and Restaurants,92.13,5812,PayPal
2024-11-02,Eating Places and Restaurants,81.19,5812,Credit Card
2024-11-11,Eating Places and Restaurants,99.39,5812,Debit Card
2024-11-01,Eating Places and Restaurants,71.52,5812,Cash
2024-11-17,Eating Places and Restaurants,37.63,5812,Debit Card
2024-11-08,"Telecommunication Services (Internet, Phone)",109.32,4814,Credit Card
2024-11-15,Automated Cash Disbursements (ATM Withdrawals),242.27,6011,Credit Card
2024-11-07,Automated Cash Disbursements (ATM Withdrawals),444.38,6011,Cash
2024-11-23,Automated Cash Disbursements (ATM Withdrawals),227.85,6011,Bank Transfer
2024-11-08,"Streaming Subscriptions (Netflix, Spotify)",16.37,7311,Bank Transfer
2024-11-27,"Transportation (Public, Ride-Sharing)",37.51,4111,Debit Card
2024-11-07,"Transportation (Public, Ride-Sharing)",18.74,4111,PayPal
2024-11-15,"Transportation (Public, Ride-Sharing)",44.35,4111,Credit Card
2024-11-11,"Transportation (Public, Ride-Sharing)",16.92,4111,Bank Transfer
2024-11-18,"Healthcare (Medical, Pharmacy)",164.45,8099,PayPal
2024-11-25,"Healthcare (Medical, Pharmacy)",159.57,8099,Bank Transfer
2024-11-06,Automotive Parts and Accessories,358.13,5533,Cash
2024-11-19,Gym Membership,65.62,8699,Cash
2024-11-08,"Book Stores (Educational, Hobby)",15.86,5942,Credit Card
2024-11-21,"Book Stores (Educational, Hobby)",49.34,5942,Bank Transfer
2024-11-10,Rent Payments,1286.07,6513,Cash
2024-11-22,Wholesale Clubs (Bulk Shopping),285.57,5300,Cash
2024-11-24,Wholesale Clubs (Bulk Shopping),388.08,5300,PayPal
2024-12-02,"Grocery Stores, Supermarkets",79.89,5411,PayPal
2024-12-14,"Grocery Stores, Supermarkets",176.35,5411,Cash
2024-12-08,"Grocery Stores, Supermarkets",179.19,5411,Bank Transfer
2024-12-03,"Grocery Stores, Supermarkets",70.62,5411,Bank Transfer
2024-12-13,"Grocery Stores, Supermarkets",185.39,5411,PayPal
2024-12-19,"Grocery Stores, Supermarkets",189.17,5411,Cash
2024-12-24,"Grocery Stores, Supermarkets",196.42,5411,Bank Transfer
2024-12-03,"Grocery Stores, Supermarkets",173.36,5411,Credit Card
2024-12-17,Service Stations (Fuel),84.52,5541,Debit Card
2024-12-17,Service Stations (Fuel),78.25,5541,Bank Transfer
2024-12-12,Service Stations (Fuel),139.41,5541,Debit Card
2024-12-03,Service Stations (Fuel),71.75,5541,Credit Card
2024-12-04,"Utilities (Electric, Gas, Water)",217.31,4900,Cash
2024-12-05,Eating Places and Restaurants,64.79,5812,Bank Transfer
2024-12-24,Eating Places and Restaurants,43.88,5812,PayPal
2024-12-18,Eating Places and Restaurants,96.4,5812,Debit Card
2024-12-22,Eating Places and Restaurants,90.15,5812,Debit Card
2024-12-04,Eating Places and Restaurants,88.83,5812,PayPal
2024-12-09,Eating Places and Restaurants,77.73,5812,Bank Transfer
2024-12-22,"Telecommunication Services (Internet, Phone)",90.69,4814,Credit Card
2024-12-12,Automated Cash Disbursements (ATM Withdrawals),335.17,6011,Credit Card
2024-12-20,Automated Cash Disbursements (ATM Withdrawals),225.97,6011,Cash
2024-12-26,Automated Cash Disbursements (ATM Withdrawals),164.63,6011,Bank Transfer
2024-12-04,"Streaming Subscriptions (Netflix, Spotify)",15.02,7311,Bank Transfer
2024-12-01,"Transportation (Public, Ride-Sharing)",39.44,4111,Debit Card
2024-12-22,"Transportation (Public, Ride-Sharing)",49.27,4111,Cash
2024-12-21,"Transportation (Public, Ride-Sharing)",33.79,4111,Cash
2024-12-16,"Transportation (Public, Ride-Sharing)",30.23,4111,Debit Card
2024-12-15,"Healthcare (Medical, Pharmacy)",99.33,8099,Debit Card
2024-12-04,"Healthcare (Medical, Pharmacy)",281.41,8099,Cash
2024-12-02,Automotive Parts and Accessories,436.13,5533,Cash
2024-12-03,Gym Membership,34.68,8699,Cash
2024-12-12,"Book Stores (Educational, Hobby)",57.52,5942,Debit Card
2024-12-22,"Book Stores (Educational, Hobby)",45.55,5942,Credit Card
2024-12-02,Rent Payments,1179.05,6513,PayPal
2024-12-15,Wholesale Clubs (Bulk Shopping),377.13,5300,Credit Card
2024-12-03,Wholesale Clubs (Bulk Shopping),292.82,5300,Credit Card
2024-11-27,"Grocery Stores, Supermarkets",183.64,5411,Credit Card
2024-11-05,"Grocery Stores, Supermarkets",198.76,5411,Credit Card
2024-11-13,"Grocery Stores, Supermarkets",149.24,5411,PayPal
2024-11-12,"Grocery Stores, Supermarkets",98.73,5411,Debit Card
2024-11-14,"Grocery Stores, Supermarkets",168.22,5411,Credit Card
2024-11-05,"Grocery Stores, Supermarkets",159.36,5411,Bank Transfer
2024-11-09,"Grocery Stores, Supermarkets",83.09,5411,Bank Transfer
2024-11-03,"Grocery Stores, Supermarkets",110.98,5411,Cash
2024-11-27,Service Stations (Fuel),45.72,5541,Bank Transfer
2024-11-03,Service Stations (Fuel),90.86,5541,Credit Card
2024-11-14,Service Stations (Fuel),126.23,5541,Cash
2024-11-09,Service Stations (Fuel),117.48,5541,Cash
2024-11-12,"Utilities (Electric, Gas, Water)",260.71,4900,Cash
2024-11-23,Eating Places and Restaurants,75.34,5812,PayPal
2024-11-18,Eating Places and Restaurants,74.24,5812,PayPal
2024-11-09,Eating Places and Restaurants,28.28,5812,Bank Transfer
2024-11-23,Eating Places and Restaurants,74.28,5812,PayPal
2024-11-01,Eating Places and Restaurants,91.82,5812,Debit Card
2024-11-17,Eating Places and Restaurants,21.67,5812,Debit Card
2024-11-24,"Telecommunication Services (Internet, Phone)",59.26,4814,Cash
2024-11-16,Automated Cash Disbursements (ATM Withdrawals),330.22,6011,Bank Transfer
2024-11-26,Automated Cash Disbursements (ATM Withdrawals),272.55,6011,Bank Transfer
2024-11-05,Automated Cash Disbursements (ATM Withdrawals),344.57,6011,Debit Card
2024-11-15,"Streaming Subscriptions (Netflix, Spotify)",12.24,7311,Cash
2024-11-10,"Transportation (Public, Ride-Sharing)",36.4,4111,Cash
2024-11-26,"Transportation (Public, Ride-Sharing)",37.54,4111,PayPal
2024-11-13,"Transportation (Public, Ride-Sharing)",39.33,4111,Credit Card
2024-11-23,"Transportation (Public, Ride-Sharing)",26.11,4111,Bank Transfer
2024-11-04,"Healthcare (Medical, Pharmacy)",104.77,8099,Bank Transfer
2024-11-09,"Healthcare (Medical, Pharmacy)",85.08,8099,Credit Card
2024-11-11,Automotive Parts and Accessories,105.14,5533,Debit Card
2024-11-13,Gym Membership,47.18,8699,PayPal
2024-11-18,"Book Stores (Educational, Hobby)",28.23,5942,PayPal
2024-11-25,"Book Stores (Educational, Hobby)",36.74,5942,Debit Card
2024-11-01,Rent Payments,1013.35,6513,Credit Card
2024-11-13,Wholesale Clubs (Bulk Shopping),292.9,5300,Debit Card
2024-11-09,Wholesale Clubs (Bulk Shopping),164.43,5300,Cash
2024-11-21,"Grocery Stores, Supermarkets",171.23,5411,Bank Transfer
2024-11-06,"Grocery Stores, Supermarkets",107.21,5411,Bank Transfer
2024-11-09,"Grocery Stores, Supermarkets",112.32,5411,Credit Card
2024-11-12,"Grocery Stores, Supermarkets",151.23,5411,Credit Card
2024-11-06,"Grocery Stores, Supermarkets",159.46,5411,Debit Card
2024-11-13,"Grocery Stores, Supermarkets",102.9,5411,Bank Transfer
2024-11-09,"Grocery Stores, Supermarkets",83.88,5411,Credit Card
2024-11-23,"Grocery Stores, Supermarkets",191.84,5411,Credit Card
2024-11-24,Service Stations (Fuel),141.23,5541,Credit Card
2024-11-07,Service Stations (Fuel),50.73,5541,Debit Card
2024-11-20,Service Stations (Fuel),113.61,5541,Cash
2024-11-16,Service Stations (Fuel),103.71,5541,Cash
2024-11-26,"Utilities (Electric, Gas, Water)",279.84,4900,PayPal
2024-11-27,Eating Places and Restaurants,63.93,5812,Debit Card
2024-11-15,Eating Places and Restaurants,48.79,5812,Cash
2024-11-07,Eating Places and Restaurants,69.31,5812,Debit Card
2024-11-06,Eating Places and Restaurants,46.99,5812,Credit Card
2024-11-19,Eating Places and Restaurants,63.21,5812,Credit Card
2024-11-15,Eating Places and Restaurants,70.75,5812,Debit Card
2024-11-26,"Telecommunication Services (Internet, Phone)",71.52,4814,Credit Card
2024-11-26,Automated Cash Disbursements (ATM Withdrawals),234.68,6011,Debit Card
2024-11-22,Automated Cash Disbursements (ATM Withdrawals),465.51,6011,PayPal
2024-11-05,Automated Cash Disbursements (ATM Withdrawals),437.88,6011,Cash
2024-11-22,"Streaming Subscriptions (Netflix, Spotify)",19.79,7311,Debit Card
2024-11-11,"Transportation (Public, Ride-Sharing)",18.25,4111,Cash
2024-11-02,"Transportation (Public, Ride-Sharing)",17.77,4111,Debit Card
2024-11-15,"Transportation (Public, Ride-Sharing)",49.08,4111,Cash
2024-11-01,"Transportation (Public, Ride-Sharing)",13.43,4111,Credit Card
2024-11-20,"Healthcare (Medical, Pharmacy)",121.09,8099,Debit Card
2024-11-12,"Healthcare (Medical, Pharmacy)",272.32,8099,Debit Card
2024-11-02,Automotive Parts and Accessories,421.62,5533,Credit Card
2024-11-03,Gym Membership,85.81,8699,Credit Card
2024-11-22,"Book Stores (Educational, Hobby)",77.57,5942,Cash
2024-11-12,"Book Stores (Educational, Hobby)",61.62,5942,Bank Transfer
2024-11-09,Rent Payments,890.97,6513,Credit Card
2024-11-02,Wholesale Clubs (Bulk Shopping),359.88,5300,Debit Card
2024-11-26,Wholesale Clubs (Bulk Shopping),347.27,5300,PayPal
